"subjects","model","bll","ans","egs","imag","bias","alpha"
6200,"LTM",0.7,0.5,NA,0.1,NA,NA
6201,"LTM",0.7,0.5,NA,0.2,NA,NA
6202,"LTM",0.7,0.3,NA,0.1,NA,NA
6204,"LTM",0.7,0.3,NA,0.1,NA,NA
6205,"LTM",0.6,0.4,NA,0.1,NA,NA
6206,"LTM",0.6,0.5,NA,0.1,NA,NA
6207,"LTM",0.7,0.2,NA,0.1,NA,NA
6209,"LTM",0.7,0.3,NA,0.1,NA,NA
6210,"metaRL",0.6,0.5,0.1,0.5,0.3151505828,0.2
6211,"LTM",0.6,0.5,NA,0.2,NA,NA
6213,"metaRL",0.7,0.1,0.1,0.1,0.3182067953,0.15
6214,"biased",0.7,0.1,0.2,0.2,0.2,0.15
6215,"LTM",0.7,0.2,NA,0.1,NA,NA
6216,"LTM",0.7,0.5,NA,0.2,NA,NA
6217,"LTM",0.5,0.5,NA,0.4,NA,NA
6218,"biased",0.7,0.1,0.1,0.3,0.2,0.15
6219,"LTM",0.7,0.5,NA,0.2,NA,NA
6220,"LTM",0.7,0.1,NA,0.1,NA,NA
6223,"metaRL",0.7,0.4,0.1,0.3,0.3221873178,0.25
6225,"LTM",0.7,0.2,NA,0.1,NA,NA
6226,"LTM",0.7,0.1,NA,0.1,NA,NA
6230,"biased",0.7,0.5,0.2,0.5,0.8,0.25
6231,"LTM",0.7,0.2,NA,0.1,NA,NA
6234,"LTM",0.7,0.2,NA,0.1,NA,NA
6235,"biased",0.5,0.1,0.4,0.1,0.4,0.05
6238,"LTM",0.7,0.5,NA,0.2,NA,NA
6241,"metaRL",0.7,0.1,0.1,0.2,0.319209714,0.1
6242,"metaRL",0.7,0.2,0.5,0.5,0.3240772232,0.25
6244,"biased",0.7,0.1,0.1,0.3,0.2,0.05
6245,"LTM",0.7,0.3,NA,0.3,NA,NA
6246,"LTM",0.7,0.5,NA,0.2,NA,NA
6247,"biased",0.4,0.2,0.2,0.1,0.6,0.05
6250,"LTM",0.7,0.1,NA,0.1,NA,NA
6253,"LTM",0.7,0.5,NA,0.2,NA,NA
6256,"LTM",0.7,0.5,NA,0.2,NA,NA
15000,"LTM",0.7,0.5,NA,0.2,NA,NA
15001,"metaRL",0.5,0.2,0.1,0.5,0.3117700424,0.25
15002,"biased",0.7,0.1,0.4,0.1,0.4,0.25
15003,"LTM",0.7,0.1,NA,0.1,NA,NA
15004,"RL",NA,NA,0.1,NA,NA,0.25
15005,"RL",NA,NA,0.2,NA,NA,0.15
15006,"LTM",0.7,0.1,NA,0.1,NA,NA
15007,"LTM",0.7,0.2,NA,0.1,NA,NA
15008,"LTM",0.7,0.5,NA,0.2,NA,NA
15009,"LTM",0.7,0.4,NA,0.1,NA,NA
15010,"LTM",0.7,0.5,NA,0.2,NA,NA
15011,"LTM",0.7,0.5,NA,0.2,NA,NA
15012,"LTM",0.6,0.5,NA,0.2,NA,NA
15013,"LTM",0.7,0.5,NA,0.3,NA,NA
15014,"LTM",0.7,0.3,NA,0.3,NA,NA
15015,"biased",0.7,0.5,0.1,0.2,0.2,0.1
15016,"RL",NA,NA,0.1,NA,NA,0.25
15017,"biased",0.7,0.1,0.2,0.3,0.4,0.2
15019,"LTM",0.7,0.3,NA,0.1,NA,NA
15020,"LTM",0.7,0.2,NA,0.1,NA,NA
15021,"metaRL",0.7,0.3,0.1,0.3,0.319232172,0.1
15022,"metaRL",0.7,0.3,0.2,0.3,0.3237198017,0.25
15023,"LTM",0.7,0.5,NA,0.2,NA,NA
28215,"biased",0.7,0.1,0.1,0.5,0.4,0.25
28241,"LTM",0.7,0.5,NA,0.2,NA,NA
28242,"LTM",0.6,0.5,NA,0.2,NA,NA
28243,"LTM",0.7,0.5,NA,0.2,NA,NA
28284,"LTM",0.7,0.2,NA,0.1,NA,NA
28303,"LTM",0.7,0.5,NA,0.2,NA,NA
28306,"LTM",0.5,0.5,NA,0.4,NA,NA
28307,"LTM",0.7,0.3,NA,0.1,NA,NA
28308,"LTM",0.7,0.3,NA,0.3,NA,NA
28309,"LTM",0.7,0.1,NA,0.1,NA,NA
28325,"LTM",0.7,0.2,NA,0.1,NA,NA
28326,"LTM",0.7,0.3,NA,0.3,NA,NA
28327,"LTM",0.6,0.3,NA,0.1,NA,NA
28328,"LTM",0.5,0.5,NA,0.4,NA,NA
28329,"LTM",0.7,0.1,NA,0.1,NA,NA
28330,"LTM",0.7,0.4,NA,0.2,NA,NA
28331,"LTM",0.7,0.1,NA,0.1,NA,NA
29220,"LTM",0.7,0.2,NA,0.1,NA,NA
29221,"biased",0.7,0.4,0.1,0.1,0.2,0.25
29227,"LTM",0.7,0.5,NA,0.2,NA,NA
29239,"metaRL",0.7,0.5,0.5,0.5,0.3206461364,0.2
29240,"LTM",0.7,0.1,NA,0.1,NA,NA
29245,"LTM",0.6,0.5,NA,0.2,NA,NA
29305,"LTM",0.6,0.1,NA,0.1,NA,NA
29318,"LTM",0.7,0.1,NA,0.1,NA,NA
